,subject,predicate,object
0,http://swrc.ontoware.org/ontology#Lecturer,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
1,http://swrc.ontoware.org/ontology#PhDStudent,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Misc
2,http://swrc.ontoware.org/ontology#InCollection,http://swrc.ontoware.org/ontology#isAbout,http://swrc.ontoware.org/ontology#ResearchTopic
3,http://swrc.ontoware.org/ontology#ResearchGroup,http://swrc.ontoware.org/ontology#member,http://swrc.ontoware.org/ontology#Graduate
4,http://swrc.ontoware.org/ontology#Project,http://swrc.ontoware.org/ontology#member,http://swrc.ontoware.org/ontology#FullProfessor
5,http://swrc.ontoware.org/ontology#FullProfessor,http://swrc.ontoware.org/ontology#worksAtProject,http://swrc.ontoware.org/ontology#Project
6,http://swrc.ontoware.org/ontology#InCollection,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Person
8,http://swrc.ontoware.org/ontology#Book,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#FullProfessor
9,http://swrc.ontoware.org/ontology#Publication,http://swrc.ontoware.org/ontology#editor,http://swrc.ontoware.org/ontology#PhDStudent
10,http://swrc.ontoware.org/ontology#Article,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#AssistantProfessor
13,http://swrc.ontoware.org/ontology#InCollection,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
16,http://swrc.ontoware.org/ontology#AssistantProfessor,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Misc
17,http://swrc.ontoware.org/ontology#Book,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Lecturer
18,http://swrc.ontoware.org/ontology#TechnicalReport,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#FullProfessor
19,http://swrc.ontoware.org/ontology#InProceedings,http://swrc.ontoware.org/ontology#isAbout,http://swrc.ontoware.org/ontology#ResearchTopic
20,http://swrc.ontoware.org/ontology#AssistantProfessor,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#InProceedings
21,http://swrc.ontoware.org/ontology#AssistantProfessor,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Proceedings
22,http://swrc.ontoware.org/ontology#ResearchGroup,http://swrc.ontoware.org/ontology#member,http://swrc.ontoware.org/ontology#PhDStudent
23,http://swrc.ontoware.org/ontology#InCollection,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Lecturer
24,http://swrc.ontoware.org/ontology#TechnicalReport,http://swrc.ontoware.org/ontology#hasProject,http://swrc.ontoware.org/ontology#Project
25,http://swrc.ontoware.org/ontology#Project,http://swrc.ontoware.org/ontology#projectInfo,http://swrc.ontoware.org/ontology#Article
27,http://swrc.ontoware.org/ontology#Misc,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Graduate
28,http://swrc.ontoware.org/ontology#ResearchTopic,http://swrc.ontoware.org/ontology#isWorkedOnBy,http://swrc.ontoware.org/ontology#AssistantProfessor
29,http://swrc.ontoware.org/ontology#ResearchTopic,http://swrc.ontoware.org/ontology#dealtWithIn,http://swrc.ontoware.org/ontology#Project
30,http://swrc.ontoware.org/ontology#Graduate,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#InCollection
32,http://swrc.ontoware.org/ontology#ResearchGroup,http://swrc.ontoware.org/ontology#publishes,http://swrc.ontoware.org/ontology#Misc
33,http://swrc.ontoware.org/ontology#InProceedings,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#FullProfessor
34,http://swrc.ontoware.org/ontology#Person,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#InCollection
36,http://swrc.ontoware.org/ontology#Misc,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#FullProfessor
40,http://swrc.ontoware.org/ontology#Book,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#AssistantProfessor
41,http://swrc.ontoware.org/ontology#Proceedings,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#PhDStudent
42,http://swrc.ontoware.org/ontology#ResearchGroup,http://swrc.ontoware.org/ontology#publishes,http://swrc.ontoware.org/ontology#InProceedings
45,http://swrc.ontoware.org/ontology#Project,http://swrc.ontoware.org/ontology#projectInfo,http://swrc.ontoware.org/ontology#TechnicalReport
47,http://swrc.ontoware.org/ontology#ResearchTopic,http://swrc.ontoware.org/ontology#isWorkedOnBy,http://swrc.ontoware.org/ontology#Lecturer
49,http://swrc.ontoware.org/ontology#Book,http://swrc.ontoware.org/ontology#hasProject,http://swrc.ontoware.org/ontology#Project
50,http://swrc.ontoware.org/ontology#ResearchGroup,http://swrc.ontoware.org/ontology#carriesOut,http://swrc.ontoware.org/ontology#Project
51,http://swrc.ontoware.org/ontology#Lecturer,http://swrc.ontoware.org/ontology#worksAtProject,http://swrc.ontoware.org/ontology#Project
52,http://swrc.ontoware.org/ontology#Article,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Lecturer
53,http://swrc.ontoware.org/ontology#TechnicalStaff,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
56,http://swrc.ontoware.org/ontology#AssistantProfessor,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Book
58,http://swrc.ontoware.org/ontology#Misc,http://swrc.ontoware.org/ontology#hasProject,http://swrc.ontoware.org/ontology#Project
59,http://swrc.ontoware.org/ontology#Lecturer,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#InCollection
60,http://swrc.ontoware.org/ontology#ResearchGroup,http://swrc.ontoware.org/ontology#publishes,http://swrc.ontoware.org/ontology#Article
61,http://swrc.ontoware.org/ontology#Project,http://swrc.ontoware.org/ontology#member,http://swrc.ontoware.org/ontology#Graduate
64,http://swrc.ontoware.org/ontology#PhDStudent,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
66,http://swrc.ontoware.org/ontology#Proceedings,http://swrc.ontoware.org/ontology#editor,http://swrc.ontoware.org/ontology#FullProfessor
67,http://swrc.ontoware.org/ontology#Proceedings,http://swrc.ontoware.org/ontology#editor,http://swrc.ontoware.org/ontology#PhDStudent
68,http://swrc.ontoware.org/ontology#InProceedings,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Person
69,http://swrc.ontoware.org/ontology#FullProfessor,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
70,http://swrc.ontoware.org/ontology#Proceedings,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Person
71,http://swrc.ontoware.org/ontology#Project,http://swrc.ontoware.org/ontology#projectInfo,http://swrc.ontoware.org/ontology#Proceedings
72,http://swrc.ontoware.org/ontology#AssistantProfessor,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Article
73,http://swrc.ontoware.org/ontology#Project,http://swrc.ontoware.org/ontology#projectInfo,http://swrc.ontoware.org/ontology#InProceedings
74,http://swrc.ontoware.org/ontology#Article,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
75,http://swrc.ontoware.org/ontology#TechnicalReport,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Person
78,http://swrc.ontoware.org/ontology#TechnicalReport,http://swrc.ontoware.org/ontology#isAbout,http://swrc.ontoware.org/ontology#ResearchTopic
81,http://swrc.ontoware.org/ontology#Article,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Person
82,http://swrc.ontoware.org/ontology#Graduate,http://swrc.ontoware.org/ontology#worksAtProject,http://swrc.ontoware.org/ontology#Project
83,http://swrc.ontoware.org/ontology#Project,http://swrc.ontoware.org/ontology#projectInfo,http://swrc.ontoware.org/ontology#Misc
84,http://swrc.ontoware.org/ontology#Publication,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#PhDStudent
85,http://swrc.ontoware.org/ontology#Misc,http://swrc.ontoware.org/ontology#isAbout,http://swrc.ontoware.org/ontology#ResearchTopic
86,http://swrc.ontoware.org/ontology#Book,http://swrc.ontoware.org/ontology#editor,http://swrc.ontoware.org/ontology#PhDStudent
87,http://swrc.ontoware.org/ontology#Misc,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#PhDStudent
88,http://swrc.ontoware.org/ontology#Graduate,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Article
89,http://swrc.ontoware.org/ontology#FullProfessor,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Proceedings
90,http://swrc.ontoware.org/ontology#InProceedings,http://swrc.ontoware.org/ontology#hasProject,http://swrc.ontoware.org/ontology#Project
92,http://swrc.ontoware.org/ontology#Project,http://swrc.ontoware.org/ontology#member,http://swrc.ontoware.org/ontology#Person
93,http://www.w3.org/2002/07/owl#ObjectProperty,http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2002/07/owl#Class
94,http://swrc.ontoware.org/ontology#FullProfessor,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#TechnicalReport
95,http://swrc.ontoware.org/ontology#Book,http://swrc.ontoware.org/ontology#isAbout,http://swrc.ontoware.org/ontology#ResearchTopic
96,http://swrc.ontoware.org/ontology#ResearchGroup,http://swrc.ontoware.org/ontology#publishes,http://swrc.ontoware.org/ontology#TechnicalReport
97,http://swrc.ontoware.org/ontology#AssistantProfessor,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#InCollection
98,http://swrc.ontoware.org/ontology#PhDStudent,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Article
99,http://www.w3.org/2002/07/owl#Restriction,http://www.w3.org/2002/07/owl#onProperty,http://www.w3.org/2002/07/owl#DatatypeProperty
100,http://swrc.ontoware.org/ontology#FullProfessor,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Book
101,http://swrc.ontoware.org/ontology#Publication,http://swrc.ontoware.org/ontology#editor,http://swrc.ontoware.org/ontology#AssistantProfessor
102,http://swrc.ontoware.org/ontology#ResearchGroup,http://swrc.ontoware.org/ontology#publishes,http://swrc.ontoware.org/ontology#Proceedings
103,http://swrc.ontoware.org/ontology#AssistantProfessor,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Publication
104,http://swrc.ontoware.org/ontology#TechnicalReport,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#PhDStudent
105,http://swrc.ontoware.org/ontology#Organization,http://swrc.ontoware.org/ontology#finances,http://swrc.ontoware.org/ontology#Project
106,http://swrc.ontoware.org/ontology#Article,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#PhDStudent
107,http://swrc.ontoware.org/ontology#Person,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#InProceedings
108,http://swrc.ontoware.org/ontology#InCollection,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#FullProfessor
