,subject,predicate,object
0,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#related,http://www.w3.org/2004/02/skos/core#Concept
1,http://purl.org/collections/nl/am/Person,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
2,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/relatedObjectReference,http://www.openarchives.org/ore/terms/Proxy
3,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/exhibition,http://purl.org/collections/nl/am/Exhibition
4,http://purl.org/collections/nl/am/Exhibition,http://purl.org/collections/nl/am/exhibitionVenue,http://www.w3.org/2004/02/skos/core#Concept
6,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/maker,http://purl.org/collections/nl/am/Maker
7,http://purl.org/collections/nl/am/Alternativenumber,http://purl.org/collections/nl/am/alternativeNumberInstitution,http://www.w3.org/2004/02/skos/core#Concept
8,http://rdfs.org/ns/void#Dataset,http://rdfs.org/ns/void#subset,http://rdfs.org/ns/void#Dataset
9,http://purl.org/collections/nl/am/Documentation,http://purl.org/collections/nl/am/documentationTitle,http://www.w3.org/2004/02/skos/core#Concept
10,http://purl.org/collections/nl/am/Locat,http://purl.org/collections/nl/am/currentLocation,http://www.w3.org/2004/02/skos/core#Concept
11,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/contentPersonName,http://purl.org/collections/nl/am/Person
12,http://www.openarchives.org/ore/terms/Aggregation,http://www.europeana.eu/schemas/edm/object,http://www.europeana.eu/schemas/edm/WebResource
13,http://purl.org/collections/nl/am/Exhibition,http://purl.org/collections/nl/am/exhibitionOrganiser,http://purl.org/collections/nl/am/Person
14,http://rdfs.org/ns/void#Linkset,http://rdfs.org/ns/void#dataDump,http://rdfs.org/ns/void#Linkset
15,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/alternativenumber,http://purl.org/collections/nl/am/Alternativenumber
16,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/reproduction,http://purl.org/collections/nl/am/Reproduction
17,http://rdfs.org/ns/void#Dataset,http://rdfs.org/ns/void#subset,http://rdfs.org/ns/void#Linkset
18,http://www.openarchives.org/ore/terms/Aggregation,http://www.europeana.eu/schemas/edm/aggregatedCHO,http://www.europeana.eu/schemas/edm/PhysicalThing
20,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/associationPerson,http://purl.org/collections/nl/am/Person
21,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/partOfReference,http://www.openarchives.org/ore/terms/Proxy
22,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/documentation,http://purl.org/collections/nl/am/Documentation
23,http://www.openarchives.org/ore/terms/Proxy,http://www.openarchives.org/ore/terms/proxyIn,http://www.openarchives.org/ore/terms/Aggregation
24,http://purl.org/collections/nl/am/Reproduction,http://purl.org/collections/nl/am/reproductionCreator,http://purl.org/collections/nl/am/Person
25,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/locat,http://purl.org/collections/nl/am/Locat
26,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/partsReference,http://www.openarchives.org/ore/terms/Proxy
27,http://purl.org/collections/nl/am/Reproduction,http://purl.org/collections/nl/am/reproductionType,http://www.w3.org/2004/02/skos/core#Concept
28,http://purl.org/collections/nl/am/Maker,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,http://purl.org/collections/nl/am/Person
31,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#exactMatch,http://www.w3.org/2004/02/skos/core#Concept
32,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/associationSubject,http://www.w3.org/2004/02/skos/core#Concept
33,http://purl.org/collections/nl/am/Person,http://purl.org/collections/nl/am/wasPresentAt,http://purl.org/collections/nl/am/Exhibition
34,http://purl.org/collections/nl/am/Dimension,http://purl.org/collections/nl/am/dimensionPart,http://www.w3.org/2004/02/skos/core#Concept
36,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/dimension,http://purl.org/collections/nl/am/Dimension
37,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/objectName,http://www.w3.org/2004/02/skos/core#Concept
40,http://purl.org/collections/nl/am/Dimension,http://purl.org/collections/nl/am/dimensionNotes,http://www.w3.org/2004/02/skos/core#Concept
41,http://www.swi-prolog.org/rdf/library/CloudNode,http://rdfs.org/ns/void#subset,http://rdfs.org/ns/void#Dataset
42,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/collection,http://www.w3.org/2004/02/skos/core#Concept
43,http://www.openarchives.org/ore/terms/Aggregation,http://www.openarchives.org/ore/terms/aggregates,http://www.europeana.eu/schemas/edm/PhysicalThing
45,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/productionPlace,http://www.w3.org/2004/02/skos/core#Concept
46,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme
47,http://www.openarchives.org/ore/terms/Proxy,http://www.openarchives.org/ore/terms/proxyFor,http://www.europeana.eu/schemas/edm/PhysicalThing
49,http://www.openarchives.org/ore/terms/Aggregation,http://www.europeana.eu/schemas/edm/landingPage,http://www.europeana.eu/schemas/edm/WebResource
50,http://purl.org/collections/nl/am/Dimension,http://purl.org/collections/nl/am/dimensionType,http://www.w3.org/2004/02/skos/core#Concept
52,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/technique,http://www.w3.org/2004/02/skos/core#Concept
53,http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/creditLine,http://www.w3.org/2004/02/skos/core#Concept
54,http://www.swi-prolog.org/rdf/library/CloudNode,http://rdfs.org/ns/void#subset,http://rdfs.org/ns/void#Linkset
55,http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/collections/nl/am/termType,http://purl.org/collections/nl/am/TermType
