subject,predicate,object
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#related,http://www.w3.org/2004/02/skos/core#Concept
http://purl.org/collections/nl/am/Person,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/relatedObjectReference,http://www.openarchives.org/ore/terms/Proxy
http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/exhibition,http://purl.org/collections/nl/am/Exhibition
http://purl.org/collections/nl/am/Exhibition,http://purl.org/collections/nl/am/exhibitionVenue,http://www.w3.org/2004/02/skos/core#Concept
http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/productionPeriod,http://www.w3.org/2004/02/skos/core#Concept
http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/maker,http://purl.org/collections/nl/am/Maker
http://purl.org/collections/nl/am/Alternativenumber,http://purl.org/collections/nl/am/alternativeNumberInstitution,http://www.w3.org/2004/02/skos/core#Concept
http://rdfs.org/ns/void#Dataset,http://rdfs.org/ns/void#subset,http://rdfs.org/ns/void#Dataset
http://purl.org/collections/nl/am/Documentation,http://purl.org/collections/nl/am/documentationTitle,http://www.w3.org/2004/02/skos/core#Concept
http://purl.org/collections/nl/am/Locat,http://purl.org/collections/nl/am/currentLocation,http://www.w3.org/2004/02/skos/core#Concept
http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/contentPersonName,http://purl.org/collections/nl/am/Person
http://www.openarchives.org/ore/terms/Aggregation,http://www.europeana.eu/schemas/edm/object,http://www.europeana.eu/schemas/edm/WebResource
http://purl.org/collections/nl/am/Exhibition,http://purl.org/collections/nl/am/exhibitionOrganiser,http://purl.org/collections/nl/am/Person
http://rdfs.org/ns/void#Linkset,http://rdfs.org/ns/void#dataDump,http://rdfs.org/ns/void#Linkset
http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/alternativenumber,http://purl.org/collections/nl/am/Alternativenumber
http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/reproduction,http://purl.org/collections/nl/am/Reproduction
http://rdfs.org/ns/void#Dataset,http://rdfs.org/ns/void#subset,http://rdfs.org/ns/void#Linkset
http://www.openarchives.org/ore/terms/Aggregation,http://www.europeana.eu/schemas/edm/aggregatedCHO,http://www.europeana.eu/schemas/edm/PhysicalThing
http://purl.org/collections/nl/am/Documentation,http://purl.org/collections/nl/am/documentationAuthor,http://purl.org/collections/nl/am/Person
http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/associationPerson,http://purl.org/collections/nl/am/Person
http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/partOfReference,http://www.openarchives.org/ore/terms/Proxy
http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/documentation,http://purl.org/collections/nl/am/Documentation
http://www.openarchives.org/ore/terms/Proxy,http://www.openarchives.org/ore/terms/proxyIn,http://www.openarchives.org/ore/terms/Aggregation
http://purl.org/collections/nl/am/Reproduction,http://purl.org/collections/nl/am/reproductionCreator,http://purl.org/collections/nl/am/Person
http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/locat,http://purl.org/collections/nl/am/Locat
http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/partsReference,http://www.openarchives.org/ore/terms/Proxy
http://purl.org/collections/nl/am/Reproduction,http://purl.org/collections/nl/am/reproductionType,http://www.w3.org/2004/02/skos/core#Concept
http://purl.org/collections/nl/am/Maker,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,http://purl.org/collections/nl/am/Person
http://purl.org/collections/nl/am/Locat,http://purl.org/collections/nl/am/currentLocationFitness,http://www.w3.org/2004/02/skos/core#Concept
http://www.openarchives.org/ore/terms/Proxy,http://purl.org/collections/nl/am/contentMotifGeneral,http://www.w3.org/2004/02/skos/core#Concept
