,subject,predicate,object
0,http://dl-learner.org/carcinogenesis#Compound,http://dl-learner.org/carcinogenesis#hasStructure,http://dl-learner.org/carcinogenesis#Ar_halide
1,http://dl-learner.org/carcinogenesis#Compound,http://dl-learner.org/carcinogenesis#hasAtom,http://dl-learner.org/carcinogenesis#Oxygen-51
2,http://dl-learner.org/carcinogenesis#Bond-1,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Copper-96
3,http://dl-learner.org/carcinogenesis#Oxygen-45,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
4,http://www.w3.org/2002/07/owl#ObjectProperty,http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/2002/07/owl#Class
6,http://dl-learner.org/carcinogenesis#Amine,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
8,http://dl-learner.org/carcinogenesis#Bond-7,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Oxygen-52
9,http://dl-learner.org/carcinogenesis#Compound,http://dl-learner.org/carcinogenesis#hasAtom,http://dl-learner.org/carcinogenesis#Oxygen-53
10,http://dl-learner.org/carcinogenesis#Bond-7,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Copper-96
11,http://dl-learner.org/carcinogenesis#Bond-1,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Carbon-22
12,http://dl-learner.org/carcinogenesis#Compound,http://dl-learner.org/carcinogenesis#hasStructure,http://dl-learner.org/carcinogenesis#Sulfide
13,http://dl-learner.org/carcinogenesis#Compound,http://dl-learner.org/carcinogenesis#hasAtom,http://dl-learner.org/carcinogenesis#Titanium-134
14,http://dl-learner.org/carcinogenesis#Bond-1,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Mercury-120
15,http://dl-learner.org/carcinogenesis#Compound,http://dl-learner.org/carcinogenesis#hasAtom,http://dl-learner.org/carcinogenesis#Carbon-21
16,http://dl-learner.org/carcinogenesis#Bond-1,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Iodine-95
17,http://dl-learner.org/carcinogenesis#Bond-3,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Nitrogen-31
18,http://dl-learner.org/carcinogenesis#Sodium-81,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
19,http://dl-learner.org/carcinogenesis#Ethoxy,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
20,http://dl-learner.org/carcinogenesis#Bond-2,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Oxygen-45
21,http://dl-learner.org/carcinogenesis#Compound,http://dl-learner.org/carcinogenesis#hasStructure,http://dl-learner.org/carcinogenesis#Di232
22,http://dl-learner.org/carcinogenesis#Bond-1,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Nitrogen-36
23,http://dl-learner.org/carcinogenesis#Compound,http://dl-learner.org/carcinogenesis#hasStructure,http://dl-learner.org/carcinogenesis#Non_ar_hetero_6_ring
24,http://dl-learner.org/carcinogenesis#Bond-2,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Nitrogen-37
25,http://dl-learner.org/carcinogenesis#Bond-7,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Sulfur-72
27,http://dl-learner.org/carcinogenesis#Bond-1,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Nitrogen-31
28,http://dl-learner.org/carcinogenesis#Six_ring,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
29,http://dl-learner.org/carcinogenesis#Amino,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
32,http://dl-learner.org/carcinogenesis#Compound,http://dl-learner.org/carcinogenesis#hasStructure,http://dl-learner.org/carcinogenesis#Di227
