subject,predicate,object
http://dl-learner.org/carcinogenesis#Compound,http://dl-learner.org/carcinogenesis#hasStructure,http://dl-learner.org/carcinogenesis#Ar_halide
http://dl-learner.org/carcinogenesis#Compound,http://dl-learner.org/carcinogenesis#hasAtom,http://dl-learner.org/carcinogenesis#Oxygen-51
http://dl-learner.org/carcinogenesis#Bond-1,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Copper-96
http://dl-learner.org/carcinogenesis#Oxygen-45,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.w3.org/2002/07/owl#ObjectProperty,http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/2002/07/owl#Class
http://dl-learner.org/carcinogenesis#Compound,http://dl-learner.org/carcinogenesis#hasAtom,http://dl-learner.org/carcinogenesis#Carbon-29
http://dl-learner.org/carcinogenesis#Amine,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://dl-learner.org/carcinogenesis#Bond-1,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Chlorine-93
http://dl-learner.org/carcinogenesis#Bond-7,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Oxygen-52
http://dl-learner.org/carcinogenesis#Compound,http://dl-learner.org/carcinogenesis#hasAtom,http://dl-learner.org/carcinogenesis#Oxygen-53
http://dl-learner.org/carcinogenesis#Bond-7,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Copper-96
http://dl-learner.org/carcinogenesis#Bond-1,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Carbon-22
http://dl-learner.org/carcinogenesis#Compound,http://dl-learner.org/carcinogenesis#hasStructure,http://dl-learner.org/carcinogenesis#Sulfide
http://dl-learner.org/carcinogenesis#Compound,http://dl-learner.org/carcinogenesis#hasAtom,http://dl-learner.org/carcinogenesis#Titanium-134
http://dl-learner.org/carcinogenesis#Bond-1,http://dl-learner.org/carcinogenesis#inBond,http://dl-learner.org/carcinogenesis#Mercury-120
